HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:865	ATP6V0A1	ENSG00000033627	535	192130	AD/AR	DEE, PME
HGNC:18481	ATP6V0A2	ENSG00000185344	23545	611716	AR	DEE
HGNC:855	ATP6V0C	ENSG00000185883	527	108745	AD	GGE, DEE
HGNC:851	ATP6V1A	ENSG00000114573	523	607027	AD	DEE
HGNC:854	ATP6V1B2	ENSG00000147416	526	606939	AD	DEE
HGNC:869	ATP7A	ENSG00000165240	538	300011	XL	DEE
HGNC:886	ATRX	ENSG00000085224	546	300032	XL	DEE
HGNC:14262	AUTS2	ENSG00000158321	26053	607270	AD	DEE
HGNC:28596	B3GALNT2	ENSG00000162885	148789	610194	AR	DEE
HGNC:15685	B4GAT1	ENSG00000174684	11041	605517	AR	MCD
HGNC:950	BAP1	ENSG00000163930	8314	603089	AD	DEE
HGNC:14347	BCAS3	ENSG00000141376	54828	607470	AR	DEE
HGNC:986	BCKDHA	ENSG00000248098	593	608348	AR	DEE
HGNC:987	BCKDHB	ENSG00000083123	594	248611	AR	DEE
HGNC:16902	BCKDK	ENSG00000103507	10295	614901	AR	DEE
HGNC:13221	BCL11A	ENSG00000119866	53335	606557	AD	DEE
HGNC:1020	BCS1L	ENSG00000074582	617	603647	AR	DEE
HGNC:17208	BICD2	ENSG00000185963	23299	609797	AD/AR	DEE, MCD
HGNC:26953	BLTP1	ENSG00000138688	84162	611565	AR	MCD
HGNC:24415	BOLA3	ENSG00000163170	388962	613183	AR	DEE
HGNC:3581	BPTF	ENSG00000171634	2186	601819	AD	DEE
HGNC:1097	BRAF	ENSG00000157764	673	164757	AD	DEE, MCD
HGNC:21701	BRAT1	ENSG00000106009	221927	614506	AR	DEE
HGNC:15832	BSCL2	ENSG00000168000	26580	606158	AR	DEE
HGNC:1122	BTD	ENSG00000169814	686	609019	AR	DEE
HGNC:29521	C12orf57	ENSG00000111678	113246	615140	AR	DEE, MCD
