HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	ATP6V1B2	ENSG00000147416	526	606939	AD	DEE
NA	ATP7A	ENSG00000165240	538	300011	XL	DEE
NA	ATRX	ENSG00000085224	546	300032	XL	DEE
NA	AUTS2	ENSG00000158321	26053	607270	AD	DEE
NA	B3GALNT2	ENSG00000162885	148789	610194	AR	DEE
NA	B4GAT1	ENSG00000174684	11041	605517	AR	MCD
NA	BAP1	ENSG00000163930	8314	603089	AD	DEE
NA	BAZ2B	ENSG00000123636	29994	605683	AD	DEE
NA	BCAS3	ENSG00000141376	54828	607470	AR	DEE
NA	BCKDHA	ENSG00000248098	593	608348	AR	DEE
NA	BCKDHB	ENSG00000083123	594	248611	AR	DEE
NA	BCKDK	ENSG00000103507	10295	614901	AR	DEE
NA	BCL11A	ENSG00000119866	53335	606557	AD	DEE
NA	BCS1L	ENSG00000074582	617	603647	AR	DEE
NA	BICD2	ENSG00000185963	23299	609797	AD/AR	DEE, MCD
NA	BLTP1	ENSG00000138688	84162	611565	AR	MCD
NA	BOLA3	ENSG00000163170	388962	613183	AR	DEE
NA	BPTF	ENSG00000171634	2186	601819	AD	DEE
NA	BRAF	ENSG00000157764	673	164757	AD	DEE, MCD
NA	BRAT1	ENSG00000106009	221927	614506	AR	DEE
NA	BSCL2	ENSG00000168000	26580	606158	AR	DEE
NA	BTD	ENSG00000169814	686	609019	AR	DEE
NA	C12orf57	ENSG00000111678	113246	615140	AR	DEE, MCD
NA	C19orf12	ENSG00000131943	83636	614297	AR	DEE
NA	C2orf69	ENSG00000178074	205327	619219	AR	DEE
NA	CACNA1A	ENSG00000141837	773	601011	AD/AR	GGE, DEE, PME
NA	CACNA1B	ENSG00000148408	774	601012	AR	DEE, PME
NA	CACNA1C	ENSG00000151067	775	114205	AD	DEE
NA	CACNA1D	ENSG00000157388	776	114206	AD	DEE
NA	CACNA1E	ENSG00000198216	777	601013	AD	DEE
NA	CACNA1G	ENSG00000006283	8913	604065	AD	DEE
NA	CACNA1I	ENSG00000100346	8911	608230	AD	DEE
NA	CACNA2D1	ENSG00000153956	781	114204	AR	DEE
NA	CACNA2D2	ENSG00000007402	9254	607082	AR	DEE, PME
NA	CAD	ENSG00000084774	790	114010	AR	DEE
NA	CAMK2A	ENSG00000070808	815	114078	AD/AR	DEE
NA	CAMK2B	ENSG00000058404	816	607707	AD	DEE
NA	CAMSAP1	ENSG00000130559	157922	613774	AR	DEE, MCD
NA	CAMTA1	ENSG00000171735	23261	611501	AD	PME
