Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
C19orf12	ENSG00000131943	83636	614297	AR	DEE
C2orf69	ENSG00000178074	205327	619219	AR	DEE
CACNA1A	ENSG00000141837	773	601011	AD/AR	GGE, DEE, PME
CACNA1B	ENSG00000148408	774	601012	AR	DEE, PME
CACNA1C	ENSG00000151067	775	114205	AD	DEE
CACNA1D	ENSG00000157388	776	114206	AD	DEE
CACNA1E	ENSG00000198216	777	601013	AD	DEE
CACNA1G	ENSG00000006283	8913	604065	AD	DEE
CACNA1I	ENSG00000100346	8911	608230	AD	DEE
CACNA2D1	ENSG00000153956	781	114204	AR	DEE
CACNA2D2	ENSG00000007402	9254	607082	AR	DEE, PME
CAD	ENSG00000084774	790	114010	AR	DEE
CAMK2A	ENSG00000070808	815	114078	AD/AR	DEE
CAMK2B	ENSG00000058404	816	607707	AD	DEE
CAMSAP1	ENSG00000130559	157922	613774	AR	DEE, MCD
CAMTA1	ENSG00000171735	23261	611501	AD	PME
CAPRIN1	ENSG00000135387	4076	601178	AD	DEE
CARS2	ENSG00000134905	79587	612800	AR	DEE, PME
CASK	ENSG00000147044	8573	300172	XL	DEE
CC2D2A	ENSG00000048342	57545	612013	AR	DEE, MCD
CCDC186	ENSG00000165813	55088	619249	AR	DEE
CCDC22	ENSG00000101997	28952	300859	XL	DEE
CCDC88A	ENSG00000115355	55704	609736	AR	DEE
CCDC88C	ENSG00000015133	440193	611204	AR	DEE
CCM2	ENSG00000136280	83605	607929	AD	MCD
CCND2	ENSG00000118971	894	123833	AD	MCD
CDC42BPB	ENSG00000198752	9578	614062	AD	DEE
CDK13	ENSG00000065883	8621	603309	AD	DEE
CDK19	ENSG00000155111	23097	614720	AD	DEE
CDK5	ENSG00000164885	1020	123831	AR	MCD
CDKL5	ENSG00000008086	6792	300203	XL	DEE
CELF2	ENSG00000048740	10659	602538	AD	DEE
CENPF	ENSG00000117724	1063	600236	AR	MCD
CEP85L	ENSG00000111860	387119	618865	AD	DEE, MCD
CERS1	ENSG00000223802	10715	606919	AR	PME
CERT1	ENSG00000113163	10087	604677	AD	DEE
CHD1	ENSG00000153922	1105	602118	AD	DEE
CHD2	ENSG00000173575	1106	602119	AD	GGE, DEE, PME
CHD3	ENSG00000170004	1107	602120	AD	DEE
CHD4	ENSG00000111642	1108	603277	AD	GGE, DEE
CHD5	ENSG00000116254	26038	610771	AD	DEE, MCD
CHKA	ENSG00000110721	1119	118491	AR	DEE
CHRNA2	ENSG00000120903	1135	118502	AD	Focal
CHRNA4	ENSG00000101204	1137	118504	AD	Focal
CHRNB2	ENSG00000160716	1141	118507	AD	Focal
CIC	ENSG00000079432	23152	612082	AD	DEE
CLCN3	ENSG00000109572	1182	600580	AD/AR	DEE
CLCN4	ENSG00000073464	1183	302910	XL	DEE
CLDN5	ENSG00000184113	7122	602101	AD	DEE
CLN3	ENSG00000188603	1201	607042	AR	PME
CLN5	ENSG00000102805	1203	608102	AR	PME
CLN6	ENSG00000128973	54982	606725	AR	PME
CLN8	ENSG00000182372	2055	607837	AR	PME
CLPB	ENSG00000162129	81570	616254	AR	DEE
CLTC	ENSG00000141367	1213	118955	AD	DEE
CNKSR2	ENSG00000149970	22866	300724	XL	Focal, DEE
CNNM2	ENSG00000148842	54805	607803	AD/AR	DEE
CNPY3	ENSG00000137161	10695	610774	AR	DEE
CNTNAP1	ENSG00000108797	8506	602346	AR	DEE
CNTNAP2	ENSG00000174469	26047	604569	AR	DEE
COG4	ENSG00000103051	25839	606976	AD/AR	DEE
COG6	ENSG00000133103	57511	606977	AR	DEE
COG7	ENSG00000168434	91949	606978	AR	DEE
COG8	ENSG00000213380	84342	606979	AR	DEE
COL18A1	ENSG00000182871	80781	120328	AR	DEE, MCD
COL3A1	ENSG00000168542	1281	120180	AR	MCD
COL4A1	ENSG00000187498	1282	120130	AD	MCD
COL4A2	ENSG00000134871	1284	120090	AD	MCD
COQ2	ENSG00000173085	27235	609825	AR	DEE
COQ4	ENSG00000167113	51117	612898	AR	DEE
COQ6	ENSG00000119723	51004	614647	AR	DEE
COQ8A	ENSG00000163050	56997	606980	AR	DEE
COQ9	ENSG00000088682	57017	612837	AR	DEE
COX10	ENSG00000006695	1352	602125	AR	DEE
COX15	ENSG00000014919	1355	603646	AR	DEE
CP	ENSG00000047457	1356	117700	AR	DEE
CPLX1	ENSG00000168993	10815	605032	AR	DEE
CPSF3	ENSG00000119203	51692	606029	AR	DEE
CPT2	ENSG00000157184	1376	600650	AR	DEE, MCD
CRADD	ENSG00000169372	8738	603454	AR	DEE, MCD
CREBBP	ENSG00000005339	1387	600140	AD	DEE
CRPPA	ENSG00000214960	729920	614631	AR	DEE, MCD
CSF1R	ENSG00000182578	1436	164770	AR	DEE
CSNK1E	ENSG00000213923	1454	600863	AD	DEE
CSNK2A1	ENSG00000101266	1457	115440	AD	DEE
CSNK2B	ENSG00000204435	1460	115441	AD	DEE
CSTA	ENSG00000121552	1475	184600	AR	MCD
CSTB	ENSG00000160213	1476	601145	AR	PME
CTNNA2	ENSG00000066032	1496	114025	AR	DEE, MCD
CTSD	ENSG00000117984	1509	116840	AR	PME
CTSF	ENSG00000174080	8722	603539	AR	PME
CTU2	ENSG00000174177	348180	617057	AR	DEE
CUL3	ENSG00000036257	8452	603136	AD	DEE
CUL4B	ENSG00000158290	8450	300304	XL	DEE
CUX2	ENSG00000111249	23316	610648	AD	GGE, DEE
CWF19L1	ENSG00000095485	55280	616120	AR	DEE, PME
CYFIP2	ENSG00000055163	26999	606323	AD	DEE
CYP27A1	ENSG00000135929	1593	606530	AR	DEE
D2HGDH	ENSG00000180902	728294	609186	AR	DEE
DAG1	ENSG00000173402	1605	128239	AR	MCD
DBT	ENSG00000137992	1629	248610	AR	DEE
DCHS1	ENSG00000166341	8642	603057	AR	MCD
DCX	ENSG00000077279	1641	300121	XL	DEE, MCD
DDC	ENSG00000132437	1644	107930	AR	DEE
DDX3X	ENSG00000215301	1654	300160	XL	DEE, MCD
DEAF1	ENSG00000177030	10522	602635	AR	DEE
DEGS1	ENSG00000143753	8560	615843	AR	DEE
DENND5A	ENSG00000184014	23258	617278	AR	DEE
DEPDC5	ENSG00000100150	9681	614191	AD/AR	Focal, DEE, MCD
DHCR24	ENSG00000116133	1718	606418	AR	DEE
DHDDS	ENSG00000117682	79947	608172	AD	DEE, PME
DHFR	ENSG00000228716	1719	126060	AR	DEE
DHPS	ENSG00000095059	1725	600944	AR	DEE
DHX16	ENSG00000204560	8449	603405	AD	DEE
DHX30	ENSG00000132153	22907	616423	AD	DEE
DIAPH1	ENSG00000131504	1729	602121	AR	DEE
DLG4	ENSG00000132535	1742	602887	AD	DEE
DLL1	ENSG00000198719	28514	606582	AD	DEE, MCD
DMRTA2	ENSG00000142700	63950	614804	AR	MCD
DMXL2	ENSG00000104093	23312	612186	AR	DEE
DNAH14	ENSG00000185842	127602	603341	AR	DEE
DNAJC5	ENSG00000101152	80331	611203	AD	PME
DNAJC6	ENSG00000116675	9829	608375	AR	DEE
DNM1	ENSG00000106976	1759	602377	AD	DEE
DNM1L	ENSG00000087470	10059	603850	AD	DEE
DOCK7	ENSG00000116641	85440	615730	AR	DEE
DOHH	ENSG00000129932	83475	611262	AR	DEE
DOLK	ENSG00000175283	22845	610746	AR	DEE
DPAGT1	ENSG00000172269	1798	191350	AR	DEE
DPM1	ENSG00000000419	8813	603503	AR	DEE
DPM2	ENSG00000136908	8818	603564	AR	DEE
DPM3	ENSG00000179085	54344	605951	AR	
DPYD	ENSG00000188641	1806	612779	AR	DEE
DROSHA	ENSG00000113360	29102	608828	AD	DEE
DYNC1H1	ENSG00000197102	1778	600112	AD	DEE, MCD
DYNC2H1	ENSG00000187240	79659	603297	AD	MCD
DYRK1A	ENSG00000157540	1859	600855	AD	DEE
EARS2	ENSG00000103356	124454	612799	AR	DEE
ECHS1	ENSG00000127884	1892	602292	AR	DEE
ECM1	ENSG00000143369	1893	602201	AR	DEE
EED	ENSG00000074266	8726	605984	AD	DEE
EEF1A2	ENSG00000101210	1917	602959	AD	DEE
EEF1B2	ENSG00000114942	1933	600655	AR	DEE
EFTUD2	ENSG00000108883	9343	603892	AD	DEE
EHMT1	ENSG00000181090	79813	607001	AD	DEE
EIF2AK2	ENSG00000055332	5610	176871	AD	DEE, MCD
EIF2B1	ENSG00000111361	1967	606686	AR	DEE
EIF2B2	ENSG00000119718	8892	606454	AR	DEE
EIF2B3	ENSG00000070785	8891	606273	AR	DEE
EIF2B4	ENSG00000115211	8890	606687	AR	DEE
EIF2B5	ENSG00000145191	8893	603945	AR	DEE
EIF2S3	ENSG00000130741	1968	300161	XL	DEE
EIF3F	ENSG00000175390	8665	603914	AR	DEE
EIF4A2	ENSG00000156976	1974	601102	AD/AR	DEE, MCD
ELOVL4	ENSG00000118402	6785	605512	AR	DEE
EMC1	ENSG00000127463	23065	616846	AR	DEE
EMC10	ENSG00000161671	284361	614545	AR	DEE
EML1	ENSG00000066629	2009	602033	AR	MCD
EOMES	ENSG00000163508	8320	604615	AR	MCD
EPG5	ENSG00000152223	57724	615068	AR	DEE
EPM2A	ENSG00000112425	7957	607566	AR	PME
ERMARD	ENSG00000130023	55780	615532	AD	MCD
ETHE1	ENSG00000105755	23474	608451	AR	DEE
EXOC7	ENSG00000182473	23265	608163	AR	DEE
EXOSC3	ENSG00000107371	51010	606489	AR	DEE
EXT2	ENSG00000151348	2132	608210	AR	DEE
FA2H	ENSG00000103089	79152	611026	AR	DEE
FAR1	ENSG00000197601	84188	616107	AR	DEE
FARS2	ENSG00000145982	10667	611592	AR	DEE
FASTKD2	ENSG00000118246	22868	612322	AR	DEE
FBXL4	ENSG00000112234	26235	605654	AR	DEE
FBXO11	ENSG00000138081	80204	607871	AD	DEE
FBXO28	ENSG00000143756	23219	609100	AD	DEE, PME
FCSK	ENSG00000157353	197258	608675	AR	DEE
FDFT1	ENSG00000079459	2222	184420	AR	DEE
FGF12	ENSG00000114279	2257	601513	AD	DEE
FGF13	ENSG00000129682	2258	300070	XL	DEE
FGFR3	ENSG00000068078	2261	134934	AD/AR	DEE, MCD
FH	ENSG00000091483	2271	136850	AR	MCD
FIG4	ENSG00000112367	9896	609390	AR	DEE, MCD
FKRP	ENSG00000181027	79147	606596	AR	DEE
FKTN	ENSG00000106692	2218	607440	AR	DEE
FLNA	ENSG00000196924	2316	300017	XL	MCD
FOLR1	ENSG00000110195	2348	136430	AR	DEE
FOXG1	ENSG00000176165	2290	164874	AD	DEE
FOXP1	ENSG00000114861	27086	605515	AD	DEE
FOXRED1	ENSG00000110074	55572	613622	AR	DEE
FRA10AC1	ENSG00000148690	118924	608866	AR	DEE
FRMD5	ENSG00000171877	84978	616309	AD	DEE
FRRS1L	ENSG00000260230	23732	604574	AR	DEE
FUCA1	ENSG00000179163	2517	612280	AR	DEE
FUT8	ENSG00000033170	2530	602589	AR	DEE
FZR1	ENSG00000105325	51343	603619	AD	DEE
GABBR2	ENSG00000136928	9568	607340	AD	DEE
GABRA1	ENSG00000022355	2554	137160	AD	GGE, DEE
GABRA2	ENSG00000151834	2555	137140	AD	DEE
GABRA3	ENSG00000011677	2556	305660	XL	DEE
GABRA4	ENSG00000109158	2557	137141	AD	DEE
GABRA5	ENSG00000186297	2558	137142	AD	GGE, DEE
GABRB1	ENSG00000163288	2560	137190	AD	DEE
GABRB2	ENSG00000145864	2561	600232	AD	GGE, DEE
GABRB3	ENSG00000166206	2562	137192	AD	DEE
GABRD	ENSG00000187730	2563	137163	AD	GGE, DEE
GABRG2	ENSG00000113327	2566	137164	AD	GGE, DEE
GAD1	ENSG00000128683	2571	605363	AR	DEE
GALC	ENSG00000054983	2581	606890	AR	DEE
GALNT2	ENSG00000143641	2590	602274	AR	DEE
GAMT	ENSG00000130005	2593	601240	AR	DEE
GATAD2B	ENSG00000143614	57459	614998	AD	DEE
GATM	ENSG00000171766	2628	602360	AR	DEE
GBA1	ENSG00000177628	2629	606463	AR	DEE, PME
GCDH	ENSG00000105607	2639	608801	AR	DEE
GCH1	ENSG00000131979	2643	600225	AD/AR	DEE
GCSH	ENSG00000140905	2653	238330	AR	DEE
GFAP	ENSG00000131095	2670	137780	AD	DEE
GFM1	ENSG00000168827	85476	606639	AR	DEE
GLB1	ENSG00000170266	2720	611458	AR	DEE
GLDC	ENSG00000178445	2731	238300	AR	DEE
GLI3	ENSG00000106571	2737	165240	AD	DEE, MCD
GLS	ENSG00000115419	2744	138280	AR	DEE
GLUD1	ENSG00000148672	2746	138130	AD	DEE
GLUL	ENSG00000135821	2752	138290	AR	DEE
